gene,logfold,padj,basemean,dream_logFC,dream_AveExpr,dream_t,dream_P.Value,dream_adj.P.Val,dream_z.std
PAX5,1.177451968,0.032568741,410.1337579,0.847109254,5.873053523,1.824846055,0.092683293,0.934101408,1.681410058
PAX8,1.532946348,0.04358959,18.97199392,1.630354366,1.299215643,2.474600366,0.030409596,0.934101408,2.164713974
PDGFRB,-1.561027736,0.034470671,26.02906775,-1.340717884,1.642432303,-2.02258947,0.067307886,0.934101408,-1.829612616
PPP1R14A,1.535421918,0.000602477,28.47482972,1.461849155,2.043250315,3.290401366,0.006577549,0.934101408,2.717508392
RAPGEF5,1.668216958,0.032568741,13.77701752,1.531555625,0.825406833,2.449638217,0.030813117,0.934101408,2.159477808
RASGEF1B,0.666004964,0.044689926,260.2339432,0.659362741,5.432150761,2.470989705,0.029156422,0.934101408,2.181365115
RELCH,-0.244131917,0.028319102,649.8489148,-0.226215829,6.856763312,-4.543131379,0.00011227,0.445431389,-3.862418465
RNF17,3.849662666,0.028319102,4.747943759,2.044275707,-1.454239969,1.846102745,0.088467008,0.934101408,1.703540275
RNF182,2.96082817,0.00794372,8.618612623,2.355678843,-0.446537088,2.195041261,0.049704017,0.934101408,1.96250244
RPL11,0.797682947,1.85E-09,1822.29302,0.820556537,8.288172668,6.933356474,0.000377249,0.934101408,3.555508043
SCFD2,0.413208508,0.038099043,148.9256775,0.373605331,4.712036211,2.792717287,0.016423467,0.934101408,2.399366507
SDC1,4.647026309,0.042801419,4.794594422,2.044980213,-1.733801146,1.860423383,0.083360626,0.934101408,1.731511214
SIGLEC1,1.999243159,0.034035173,122.2940722,1.195968865,3.605887114,1.609838443,0.131307264,0.934101408,1.508966813
SLC45A3,-1.210746188,0.04358959,24.24832267,-1.034075713,1.841373705,-2.070087397,0.060062647,0.934101408,-1.880333454
SOX5,1.29983146,0.038370433,32.00078848,0.92605732,2.190266364,1.749254672,0.104866655,0.934101408,1.621704405
SYNPO,1.360855286,0.025225318,38.74170087,1.312542391,2.425755717,2.55749267,0.024516803,0.934101408,2.248932306
TFAP4,0.560298954,0.033176397,97.69326223,0.503182489,4.0656807,3.284196585,0.006434961,0.934101408,2.724752975
TMEM158,-1.292767127,0.009586052,23.07084402,-1.384594708,1.761805126,-3.391086698,0.005556041,0.934101408,-2.772892855
TMEM176A,2.150741963,1.97E-05,25.1793192,1.897677232,1.698603543,3.578416341,0.002847003,0.934101408,2.983791984
TMEM176B,1.70725941,0.009607795,87.99914075,1.440530234,3.502064506,2.536297985,0.025381752,0.934101408,2.235542536
TNFRSF13C,1.311324821,0.032568741,236.282104,0.948256364,5.019164431,1.946954472,0.074567366,0.934101408,1.783116349
TOMM7,0.458052655,0.038370433,209.4253626,0.492545077,5.195773192,3.322885549,0.006229867,0.934101408,2.735430877
TOR1B,0.581533504,0.038370433,199.9743537,0.532950732,5.100899775,2.469096382,0.0288831,0.934101408,2.185078386
TRPC1,-1.061622224,0.042801419,14.58917003,-1.002142097,1.165322421,-3.963557804,0.000514078,0.934101408,-3.473311478
TXNDC5,2.457372414,0.026895049,131.0219756,1.229678602,3.394809688,1.441228098,0.17265384,0.934101408,1.363725931
UTP14A,0.489521435,0.043897197,139.9833043,0.452527512,4.608997433,2.74402237,0.020270693,0.934101408,2.321299353
ZNF215,3.01279615,0.032568741,5.542091309,1.721991069,-0.980417438,1.7961884,0.096537832,0.934101408,1.661875043
ZNF860,1.359362714,0.000449851,56.48085271,1.309292707,3.092813577,3.387387788,0.005222731,0.934101408,2.792965181
